Index,GDP,CPI,Credit,Deposit_rate,Lending_rate,Exchange_rate,oil
2000 Q1,214113,48.88,119729.92,3.6,10.8,100,26.61666667
2000 Q2,289121,48.13,130069.1,3.58,10.8,99.573,26.76666667
2000 Q3,263110,47.6,135924.41,3.54,10.4,96.174,29.88333333
2000 Q4,309259,47.9,155236,3.89,10.2,91.73,29.67
2001 Q1,229406,48.21,163569.1,5.24,10.65,87.826,26.07
2001 Q2,309072,47.74,167600.4,4.96,9.35,85.236,26.72666667
2001 Q3,281370,47.72,177047.1,5.2,9,86.215,25.21333333
2001 Q4,329917,48.01,191204.3,5.82,8.68,82.673,19.31333333
2002 Q1,244518,49.44,201387.1,5.9,8.52,81.362,20.92333333
2002 Q2,330830,49.66,211385,6.39,8.75,86.794,25.20333333
2002 Q3,301383,49.77,224637.127,6.7,9.5,85.804,26.93666667
2002 Q4,354438,50.15,239921.3,6.8,9.48,87.067,26.73666667
2003 Q1,261135,51.37,246523.6,6.87,9.41,86.764,31.33666667
2003 Q2,352199,51.45,274775.7,7.04,9.45,87.805,26.48666667
2003 Q3,325834,51.17,290357.536,6.61,9.54,90.112,28.38333333
2003 Q4,382379,51.45,317770.5,5.97,9.52,91.639,29.36
2004 Q1,279368,53.58,341467.779,5.97,9.54,91.91,32.13
2004 Q2,377133,55.12,372387.337,5.97,9.54,90.617,35.62666667
2004 Q3,351912,56.13,391389.2,6.22,9.68,90.272,40.55333333
2004 Q4,416082,56.54,442978.018,6.53,10.13,94.769,42.73
2005 Q1,300163,58.43,473035.765,6.54,10.82,93.692,46.12666667
2005 Q2,407460,59.56,511064.31,7.2,10.88,91.437,50.78
2005 Q3,384503,60.37,548233.704,7.31,11.08,90.592,59.96333333
2005 Q4,452622,61.35,597715.286,7.53,11.33,89.527,56.54666667
2006 Q1,322224,63.27,607180.245,7.61,11.18,91.226,61
2006 Q2,437688,63.96,642556.793,7.61,11.18,92.321,68.3
2006 Q3,418253,64.71,669875.277,7.65,11.18,91.706,68.76333333
2006 Q4,493698,65.46,734391.342,7.65,11.18,92.979,59.02666667
2007 Q1,346903,67.41,768309.476,7.67,11.18,93.791,57.19333333
2007 Q2,472652,68.67,837904.689,7.58,11.18,92.88,66.13
2007 Q3,454766,70.27,927616.955,7.44,11.18,95.521,73.57
2007 Q4,538921,72.44,1100084.602,7.28,11.18,97.043,87.61666667
2008 Q1,372993,78.46,1198369.374,9.12,12.32,102.641,95.47
2008 Q2,500164,85.5,1252777.08,13.8,16.64,98.241,121.1133333
2008 Q3,484200,89.76,1251155.16,16.99,20.1,95.29,115.47
2008 Q4,570313,89.51,1403753.67,11.01,14.08,93.502,56.08666667
2009 Q1,384643,90.65,1501838.156,6.88,9.54,90.233,44.20666667
2009 Q2,522296,91.23,1706593.789,7.33,9.57,92.914,59.17
2009 Q3,509299,91.93,1888724.19,7.9,10.19,95.255,68.22
2009 Q4,614045,93.63,2040048.812,9.53,10.98,89.936,75.50666667
2010 Q1,407467,97.44,2063083.011,10.26,12,86.477,77.04666667
2010 Q2,555134,98.95,2244801.209,11.12,13.44,85.712,78.13666667
2010 Q3,546995,99.83,2421726.19,11.1,13.17,87.61,75.50333333
2010 Q4,658420,103.78,2689967.435,12.29,13.93,88.567,85.44
2011 Q1,429638,109.92,2796322.983,13.96,16.05,82.197,99.68
2011 Q2,586822,118.12,2818588.208,14,18.02,83.787,110.1166667
2011 Q3,580473,122.32,2859059.296,14,17.91,82.662,103.0533333
2011 Q4,700341,124.35,3063868.648,14,15.84,81.168,103.18
2012 Q1,447411,127.42,3013312.751,13.65,15.3,81.431,112.46
2012 Q2,614236,128.24,3102963.214,10.68,13.87,80.825,102.88
2012 Q3,612005,129.2,3206544.274,9,12.49,81.964,102.7833333
2012 Q4,739126,133.01,3404894.804,8.68,12.23,81.399,101.91
2013 Q1,480455,136.23,3477625.919,7.86,11.85,79.756,105.1033333
2013 Q2,614902,136.65,3604151.042,7.04,10.2,78.308,99.31333333
2013 Q3,643628,138.27,3673354.344,6.85,9.82,79.308,107.35
2013 Q4,804611,140.87,3879154.347,6.81,9.63,78.723,104.51
2014 Q1,503683,141.95,3928526.995,6.42,9.58,78.704,103.7033333
2014 Q2,648415,143.37,4014471.849,5.85,8.6,78.533,106.3466667
2014 Q3,684534,144.49,4135940.794,5.76,8.32,76.295,100.3866667
2014 Q4,859164,144.77,4479969.671,5,8.16,74.168,74.54666667
2015 Q1,534573,144.13,4606113.916,4.82,7.23,71.771,51.73666667
2015 Q2,690305,144.78,4800505.277,4.72,7.23,71.43,60.40666667
2015 Q3,729625,145.21,4991100.192,4.72,7.05,69.09,48.81333333
2015 Q4,921353,145.5,5381432.564,4.73,6.96,68.478,42.21666667
2016 Q1,564255,146.84,5506787.155,4.99,6.96,70.142,32.77
2016 Q2,728713,148.92,5750744.987,5.25,6.96,70.222,44.80666667
2016 Q3,777912,150.07,5944330.406,5.25,6.76,70.854,44.70666667
